Natural Gas Feed (kmol/h),Steam Feed (kmol/h),Temperature (°C),Total Annual Cost (TAC) [$/h],Hydrogen Production  Nm^3/h,CO in Tail Gas [frac]
1960.5,4962.44,628.713,9.11E+07,103279,0.0743761
2337.48,3927.31,631.608,1.05E+08,125776,0.078249
2100.53,5436.38,611.257,8.52E+07,92418,0.0597286
1341.85,3254.46,632.203,8.03E+07,96058.9,0.0650294
1337.18,3466.82,645.84,8.29E+07,100033,0.0756064
2312.53,4928.88,629.36,9.96E+07,114183,0.074341
2343.74,3293.37,604.33,8.77E+07,100984,0.0587881
1604.28,3884.94,629.023,8.53E+07,99888.5,0.0705223
1278.15,4621.85,648.89,7.71E+07,87635.1,0.0957892
2241.51,4351.14,626.463,9.83E+07,114683,0.0717605
2169.93,4362.57,633.874,1.01E+08,119008,0.0780159
1845.35,3584.91,602.459,7.92E+07,90652.3,0.0525386
1619.01,5181.46,615.105,7.70E+07,83121.2,0.0648245
2024.21,5226.61,616.235,8.62E+07,94931.2,0.0637903
1871.89,3507.61,649.628,1.05E+08,129883,0.0889072
1640.11,5401.56,621.775,7.92E+07,86087.6,0.0707014
1623.01,5255.49,623.02,7.96E+07,86826,0.071652
1995.77,5464.21,600.618,7.90E+07,83141.1,0.051772
1260.5,4280.47,627.863,7.23E+07,81496.5,0.0748109
1873.2,3837.08,649.65,1.04E+08,125864,0.0860794
1533.71,5508.98,646.102,8.39E+07,92782.3,0.0947587
2040.7,6133.43,619.923,8.70E+07,92863.9,0.067396
2279.69,3738.72,641.609,1.11E+08,135758,0.0908285
2025.07,3933.31,648.344,1.07E+08,130617,0.0882552
1265.74,6351.75,636.193,7.20E+07,73507.2,0.0856871
1774.66,3660.69,604.172,7.88E+07,89989.5,0.053351
2007.12,4807.36,639.98,9.80E+07,114158,0.0838829
2380.55,5187.88,646.499,1.10E+08,128492,0.090636
1594.13,5219.72,627.693,8.04E+07,88742.9,0.0758289
1968.55,4812.65,616.275,8.60E+07,96141.2,0.0632125
1382.97,3669.41,620.345,7.60E+07,87730.4,0.0629658
1767.54,3635.21,604.61,7.89E+07,90273.3,0.0534748
1514.23,4019.15,627.308,8.11E+07,94008.7,0.0705357
1378.83,4890.79,636.698,7.72E+07,86334.3,0.0847061
1291.53,4896.9,620.905,7.03E+07,76111.3,0.0713491
1678.71,5920.06,634.74,8.37E+07,90909.2,0.0827973
1469.44,6290.88,610.981,7.13E+07,71897.2,0.0627228
2017.42,4372.54,639.201,9.99E+07,118144,0.0816168
2383.72,5063.4,605.338,8.76E+07,95621.1,0.0543598
2381.3,5751.82,643.226,1.06E+08,120854,0.0874363
1398.95,4446.62,611.476,7.14E+07,78511.9,0.0611606
